precio,expensas,metros,ambientes,banos,direccion,barrio
USD 129.000,$ 90.588 Expensas,71 m² tot.,2 amb.,1 baño,Suipacha al 300,"Centro / Microcentro, Capital Federal"
USD 239.000,,112 m² tot.,4 amb.,1 baño,"Santa Fe  al 1700, Recoleta- Venta- Departameto- 4 Ambientes 112,31m2","Recoleta, Capital Federal"
USD 141.700,,47 m² tot.,2 amb.,1 baño,Aguilar al 2400,"Belgrano, Capital Federal"
USD 996.224,,156 m² tot.,3 amb.,2 baños,Palermo,"Palermo, Capital Federal"
USD 155.000,$ 173.000 Expensas,62 m² tot.,3 amb.,1 baño,Avenida Jose Maria Moreno al 700,"Boedo, Capital Federal"
USD 95.000,$ 281.700 Expensas,46 m² tot.,2 amb.,1 baño,Santos Dumont 2475,"Colegiales, Capital Federal"
USD 106.341,,32 m² tot.,1 amb.,1 baño,Cabildo  al 1600,"Belgrano, Capital Federal"
USD 100.330,,45 m² tot.,2 amb.,1 baño,Nogoya al 2500,"Villa del Parque, Capital Federal"
USD 185.000,,66 m² tot.,2 amb.,1 baño,Lavalle al 3200,"Abasto, Capital Federal"
USD 250.000,,184 m² tot.,,,Pasaje Doctor Honorio Leguizamon 3760,"Villa Urquiza, Capital Federal"
USD 199.000,,291 m² tot.,6 amb.,2 baños,Homero 100,"Villa Luro, Capital Federal"
USD 76.000,$ 130.000 Expensas,34 m² tot.,1 amb.,1 baño,Gurruchaga al 300,"Villa Crespo, Capital Federal"
USD 180.000,,56 m² tot.,2 amb.,2 baños,Soler al 5900,"Palermo, Capital Federal"
USD 20.000,,12 m² tot.,,,Avenida Independencia al 1200,"Monserrat, Capital Federal"
USD 250.000,,57 m² tot.,,,Vidal al 1400,"Colegiales, Capital Federal"
USD 247.000,$ 190.000 Expensas,76 m² tot.,3 amb.,2 baños,Avenida Cabildo 4700,"Núñez, Capital Federal"
USD 270.000,,233 m² tot.,4 amb.,2 baños,Gurruchaga  al 400,"Villa Crespo, Capital Federal"
USD 126.900,$ 190.000 Expensas,69 m² tot.,3 amb.,1 baño,Colombres 1000,"Boedo, Capital Federal"
