precio,expensas,metros,ambientes,banos,direccion,barrio
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
USD 115.000,$ 140.000 Expensas,33 m² tot.,1 amb.,1 baño,Juncal al 1600,"Recoleta, Capital Federal"
USD 245.104,,59 m² tot.,3 amb.,1 baño,Av Pedro Goyena 655 E603,"Caballito Sur, Caballito"
USD 450.000,,466 m² tot.,6 amb.,2 baños,"Comuna 11, San Blas 3134, Ciudad Autónoma de Buenos Aires, Argentina","Villa Santa Rita, Capital Federal"
USD 70.000,,52 m² tot.,2 amb.,1 baño,Mercedes al 1900,"Monte Castro, Capital Federal"
USD 640.000,$ 1 Expensas,111 m² tot.,3 amb.,2 baños,Libertador 7400,"Núñez, Capital Federal"
USD 58.170,,25 m² tot.,1 amb.,1 baño,Av. San Juan 2402. Entre Matheu y Alberti,"San Cristobal, Capital Federal"
USD 135.000,$ 150.000 Expensas,43 m² tot.,2 amb.,1 baño,Av. Las Heras al 4000,"Botánico, Palermo"
USD 156.103,,36 m² tot.,1 amb.,1 baño,"Av. Las Heras al 1800, Entre Av. Callao y Ayacucho","Recoleta, Capital Federal"
USD 275.000,$ 700.000 Expensas,69 m² tot.,2 amb.,1 baño,Nicaragua  al 6000,"Palermo Hollywood, Palermo"
USD 465.000,$ 216.000 Expensas,136 m² tot.,3 amb.,2 baños,Migueletes al 2200,"Belgrano Chico, Belgrano"
USD 114.300,,51 m² tot.,2 amb.,1 baño,Nogoya al 2590,"Villa del Parque, Capital Federal"
USD 650.000,,474 m² tot.,6 amb.,2 baños,Av. Melian 3200,"Coghlan, Capital Federal"
USD 250.000,,75 m² tot.,3 amb.,1 baño,Coronel Niceto Vega e/ Bonpland y Fitz Roy,"Palermo Hollywood, Palermo"
USD 144.000,$ 230.000 Expensas,78 m² tot.,3 amb.,2 baños,Paraguay 2600,"Recoleta, Capital Federal"
USD 248.400,,95 m² tot.,3 amb.,1 baño,Av. Boyaca y Franklin - Unidad 4-515,"Caballito, Capital Federal"
USD 1.160.000,$ 529.700 Expensas,263 m² tot.,7 amb.,3 baños,Libertad al 1500,"Recoleta, Capital Federal"
USD 895.000,,187 m² tot.,6 amb.,3 baños,Thames  al 2100,"Palermo, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 75.000,$ 130.000 Expensas,59 m² tot.,3 amb.,1 baño,Lavalle e/ 25 de Mayo y Reconquista,"San Nicolás, Capital Federal"
USD 125.000,$ 340.000 Expensas,43 m² tot.,2 amb.,1 baño,Giribone al 2300 - Piso 3,"Villa Urquiza, Capital Federal"
USD 195.000,,107 m² tot.,3 amb.,2 baños,Amenabar al 2400,"Belgrano, Capital Federal"
USD 240.000,,85 m² tot.,3 amb.,2 baños,Met Camargo Residences I Serrano - 3 Ambientes,"Villa Crespo, Capital Federal"
USD 200.000,,140 m² tot.,3 amb.,1 baño,Guatemala al 4400,"Palermo Soho, Palermo"
USD 815.000,,282 m² tot.,4 amb.,3 baños,Teodoro Garcia 3100 1,"Colegiales, Capital Federal"
USD 125.000,,43 m² tot.,2 amb.,1 baño,Campana al 3300,"Villa del Parque, Capital Federal"
