precio,expensas,metros,ambientes,banos,barrio,comuna
260000.0,500000,55.0,2.0,1.0,PALERMO,14
232000.0,0,88.0,3.0,2.0,BELGRANO,13
89800.0,0,38.0,2.0,1.0,SAN TELMO,1
416000.0,0,116.0,4.0,2.0,PALERMO,14
225000.0,0,70.0,3.0,1.0,PALERMO,14
195000.0,0,92.0,3.0,1.0,SAAVEDRA,12
75000.0,184000,48.0,2.0,1.0,BOCA,4
176000.0,200000,81.0,4.0,2.0,VILLA LURO,10
220000.0,355000,72.0,3.0,1.0,BELGRANO,13
290000.0,0,150.0,4.0,2.0,BELGRANO,13
73000.0,120000,43.0,2.0,1.0,FLORES,7
410000.0,500000,200.0,4.0,3.0,BELGRANO,13
100000.0,120000,47.0,3.0,1.0,BELGRANO,13
1440000.0,1100000,232.0,4.0,4.0,PUERTO MADERO,1
95000.0,200000,48.0,3.0,1.0,FLORES,7
355000.0,515000,128.0,4.0,2.0,CABALLITO,6
195000.0,162000,83.0,3.0,1.0,PALERMO,14
2350000.0,0,355.0,5.0,4.0,NUÑEZ,13
104000.0,167000,54.0,2.0,2.0,RETIRO,1
97000.0,270000,56.0,2.0,1.0,FLORES,7
85000.0,250000,30.0,1.0,1.0,PALERMO,14
387000.0,550000,170.0,4.0,2.0,BELGRANO,13
119000.0,0,56.0,1.0,1.0,VILLA URQUIZA,12
215000.0,0,81.0,3.0,2.0,VILLA URQUIZA,12
109000.0,0,72.0,3.0,1.0,BALVANERA,3
135000.0,0,125.0,4.0,2.0,FLORES,7
715000.0,990000,250.0,5.0,3.0,BELGRANO,13
59999.0,200000,36.0,2.0,1.0,RETIRO,1
790000.0,452240,446.0,5.0,2.0,PALERMO,14
203000.0,0,98.0,3.0,1.0,VILLA PUEYRREDON,12
62500.0,96000,25.0,1.0,1.0,BELGRANO,13
92000.0,0,44.0,3.0,1.0,VILLA URQUIZA,12
180000.0,450000,80.0,3.0,1.0,RETIRO,1
159866.0,0,48.0,2.0,1.0,BELGRANO,13
600000.0,0,423.0,5.0,3.0,VILLA URQUIZA,12
968700.0,0,222.0,5.0,4.0,CABALLITO,6
245000.0,320452,99.0,3.0,2.0,VILLA URQUIZA,12
120000.0,230000,33.0,1.0,1.0,PALERMO,14
280000.0,203000,118.0,4.0,2.0,VILLA DEVOTO,11
255800.0,0,77.0,4.0,2.0,BARRACAS,4
115500.0,90000,70.0,3.0,1.0,VILLA DEVOTO,11
79000.0,165000,50.0,2.0,1.0,FLORES,7
99000.0,0,28.0,1.0,1.0,NUÑEZ,13
598000.0,950000,304.0,8.0,4.0,RECOLETA,2
147000.0,0,42.0,2.0,1.0,RECOLETA,2
114900.0,218000,50.0,3.0,1.0,VILLA LURO,10
92000.0,0,38.0,1.0,1.0,VILLA URQUIZA,12
129000.0,140000,41.0,1.0,1.0,VILLA CRESPO,15
108000.0,115000,64.0,3.0,1.0,CABALLITO,6
475000.0,557331,156.0,4.0,2.0,RECOLETA,2
410000.0,980000,194.0,4.0,2.0,BELGRANO,13
239900.0,0,79.0,3.0,1.0,COGHLAN,12
90000.0,0,56.0,2.0,1.0,VILLA DEL PARQUE,11
680000.0,0,350.0,5.0,3.0,PALERMO,14
115000.0,105000,35.0,1.0,1.0,BELGRANO,13
134900.0,210000,54.0,2.0,1.0,ALMAGRO,5
148900.0,0,152.0,3.0,2.0,VILLA URQUIZA,12
82000.0,0,40.0,1.0,1.0,BALVANERA,3
1648483.0,0,350.0,4.0,4.0,BELGRANO,13
100000.0,60000,69.0,3.0,2.0,SAN TELMO,1
139000.0,175000,43.0,1.0,1.0,PALERMO,14
189900.0,115000,60.0,2.0,1.0,VILLA URQUIZA,12
195000.0,185000,65.0,3.0,1.0,BELGRANO,13
148900.0,230000,64.0,3.0,1.0,PARQUE CHACABUCO,7
280000.0,298500,97.0,3.0,2.0,RECOLETA,2
260000.0,415000,117.0,3.0,1.0,RECOLETA,2
1800000.0,1400000,380.0,8.0,4.0,RECOLETA,2
119900.0,205000,45.0,2.0,1.0,PALERMO,14
590000.0,0,145.0,3.0,2.0,PUERTO MADERO,1
125000.0,205000,40.0,1.0,1.0,BELGRANO,13
260000.0,0,134.0,3.0,1.0,SAAVEDRA,12
385853.0,0,162.0,1.0,2.0,BELGRANO,13
106300.0,90000,38.0,1.0,1.0,BALVANERA,3
190000.0,600000,100.0,4.0,2.0,RETIRO,1
75000.0,120000,31.0,2.0,1.0,CABALLITO,6
54900.0,94000,28.0,1.0,1.0,ALMAGRO,5
260000.0,0,115.0,4.0,2.0,BELGRANO,13
230000.0,364000,81.0,3.0,2.0,PALERMO,14
395000.0,322000,145.0,4.0,3.0,BELGRANO,13
165000.0,340000,55.0,2.0,1.0,VILLA URQUIZA,12
152000.0,110000,86.0,4.0,2.0,RECOLETA,2
115000.0,29000,65.0,3.0,1.0,CABALLITO,6
298000.0,300000,118.0,4.0,2.0,VILLA LURO,10
155000.0,0,115.0,3.0,1.0,MATADEROS,9
355000.0,600000,141.0,4.0,1.0,RECOLETA,2
890000.0,854000,230.0,4.0,2.0,PALERMO,14
70000.0,150000,37.0,1.0,1.0,BELGRANO,13
180000.0,500000,176.0,6.0,1.0,SAN NICOLAS,1
125000.0,330000,43.0,3.0,1.0,PALERMO,14
139000.0,0,53.0,2.0,1.0,VILLA CRESPO,15
187000.0,340000,67.0,3.0,1.0,CABALLITO,6
540000.0,0,206.0,3.0,2.0,BELGRANO,13
100000.0,0,48.0,2.0,1.0,LINIERS,9
340000.0,600000,106.0,3.0,3.0,PALERMO,14
1050000.0,1340000,373.0,9.0,4.0,BELGRANO,13
180000.0,134000,57.0,2.0,1.0,CABALLITO,6
949900.0,1300000,262.0,4.0,2.0,PALERMO,14
590000.0,0,302.0,5.0,2.0,BELGRANO,13
136000.0,200000,69.0,3.0,1.0,FLORES,7
165000.0,140000,77.0,3.0,1.0,VILLA URQUIZA,12
179500.0,244126,172.0,4.0,4.0,SAN NICOLAS,1
808391.0,0,176.0,4.0,2.0,PALERMO,14
200124.0,0,55.0,2.0,1.0,PALERMO,14
370000.0,380000,66.0,2.0,1.0,PUERTO MADERO,1
119000.0,220000,112.0,5.0,2.0,ALMAGRO,5
208000.0,0,76.0,3.0,2.0,ALMAGRO,5
250000.0,250000,108.0,3.0,2.0,RECOLETA,2
160000.0,293000,41.0,2.0,1.0,VILLA URQUIZA,12
263440.0,0,61.0,2.0,1.0,PALERMO,14
430000.0,856970,110.0,3.0,3.0,PALERMO,14
89000.0,70000,28.0,1.0,2.0,RECOLETA,2
81000.0,1,38.0,1.0,1.0,BALVANERA,3
200000.0,0,140.0,3.0,1.0,PALERMO,14
415000.0,0,254.0,4.0,2.0,COGHLAN,12
375000.0,769509,199.0,4.0,2.0,PALERMO,14
158900.0,250000,132.0,2.0,1.0,ALMAGRO,5
150000.0,290000,70.0,4.0,2.0,PALERMO,14
259000.0,317000,110.0,5.0,3.0,PALERMO,14
550000.0,0,260.0,5.0,3.0,PALERMO,14
135000.0,150000,40.0,1.0,1.0,PALERMO,14
290000.0,600000,109.0,4.0,2.0,BELGRANO,13
92000.0,240000,43.0,1.0,1.0,MONSERRAT,1
207950.0,1,41.0,1.0,1.0,PUERTO MADERO,1
353184.0,275000,91.0,4.0,2.0,VILLA URQUIZA,12
155000.0,194512,57.0,3.0,1.0,PALERMO,14
386000.0,208000,98.0,3.0,2.0,CABALLITO,6
205000.0,410000,57.0,2.0,1.0,PALERMO,14
60000.0,60539,38.0,2.0,1.0,SAN CRISTOBAL,3
345000.0,728000,182.0,5.0,4.0,BELGRANO,13
200000.0,180000,80.0,2.0,1.0,VILLA URQUIZA,12
175800.0,80000,77.0,3.0,1.0,PARQUE CHACABUCO,7
165000.0,68000,80.0,4.0,2.0,BALVANERA,3
165000.0,0,303.0,5.0,3.0,PATERNAL,15
114000.0,45000,57.0,3.0,1.0,PALERMO,14
275000.0,400000,134.0,4.0,3.0,CABALLITO,6
165000.0,0,102.0,3.0,1.0,VILLA CRESPO,15
59000.0,250000,66.0,3.0,1.0,FLORES,7
76000.0,0,38.0,1.0,1.0,FLORES,7
135000.0,122000,58.0,3.0,1.0,CABALLITO,6
1690000.0,0,320.0,4.0,3.0,BELGRANO,13
350000.0,0,370.0,5.0,2.0,SAAVEDRA,12
215000.0,300000,86.0,2.0,1.0,COLEGIALES,13
90000.0,45000,50.0,2.0,1.0,ALMAGRO,5
1920000.0,1000000,266.0,4.0,3.0,NUÑEZ,13
650000.0,0,110.0,1.0,1.0,PALERMO,14
475000.0,800000,237.0,7.0,3.0,RECOLETA,2
267624.0,0,60.0,2.0,2.0,BELGRANO,13
546000.0,0,133.0,4.0,2.0,BELGRANO,13
133000.0,0,141.0,4.0,1.0,VILLA DEL PARQUE,11
92000.0,110000,29.0,1.0,1.0,PALERMO,14
335000.0,334000,172.0,4.0,2.0,PALERMO,14
138500.0,0,52.0,1.0,1.0,RECOLETA,2
296000.0,348000,66.0,2.0,2.0,RECOLETA,2
345000.0,0,85.0,2.0,1.0,PALERMO,14
215000.0,150000,62.0,3.0,2.0,CABALLITO,6
1097770.0,0,202.0,4.0,3.0,BELGRANO,13
210000.0,200000,185.0,10.0,2.0,BALVANERA,3
139200.0,0,48.0,2.0,1.0,CABALLITO,6
230000.0,0,200.0,7.0,3.0,MONSERRAT,1
140000.0,200000,58.0,4.0,1.0,COLEGIALES,13
88000.0,230000,60.0,3.0,1.0,PARQUE PATRICIOS,4
195000.0,254000,68.0,3.0,2.0,VILLA URQUIZA,12
147000.0,160000,54.0,3.0,1.0,RECOLETA,2
217000.0,236000,90.0,4.0,1.0,RECOLETA,2
90000.0,170000,38.0,1.0,1.0,VILLA DEVOTO,11
208000.0,0,46.0,2.0,1.0,BELGRANO,13
220000.0,0,60.0,2.0,1.0,NUÑEZ,13
220000.0,30000,75.0,3.0,1.0,NUÑEZ,13
185000.0,361700,75.0,3.0,1.0,BARRACAS,4
1050000.0,0,172.0,4.0,3.0,PALERMO,14
95000.0,90000,30.0,2.0,1.0,RECOLETA,2
650000.0,800000,112.0,4.0,2.0,PALERMO,14
140000.0,0,81.0,4.0,1.0,VILLA CRESPO,15
425000.0,450000,186.0,5.0,2.0,VILLA DEVOTO,11
83000.0,60000,37.0,1.0,1.0,VILLA DEVOTO,11
90000.0,147000,37.0,2.0,1.0,BELGRANO,13
415000.0,733000,172.0,6.0,3.0,RECOLETA,2
660000.0,0,161.0,4.0,3.0,CABALLITO,6
700000.0,0,161.0,4.0,3.0,CABALLITO,6
720000.0,723000,424.0,1.0,5.0,PALERMO,14
540000.0,485000,84.0,3.0,2.0,PUERTO MADERO,1
275000.0,0,225.0,6.0,2.0,PALERMO,14
260000.0,160000,141.0,3.0,1.0,NUÑEZ,13
97000.0,160000,44.0,2.0,1.0,NUÑEZ,13
